username,author_id,tweet_id,tweet_link,view_count,retweet_count,reply_count,like_count,quote_count,followers
JesseLingard,755703497195225088,1458435423156547589,https://twitter.com/755703497195225088/status/1458435423156547589,0,103,54,2008,9,2764525
JesseLingard,755703497195225088,1454536979392208898,https://twitter.com/755703497195225088/status/1454536979392208898,0,3751,414,73560,69,2764525
JesseLingard,755703497195225088,1454130839462322177,https://twitter.com/755703497195225088/status/1454130839462322177,0,53,29,1083,6,2764525
JesseLingard,755703497195225088,1453392930589249545,https://twitter.com/755703497195225088/status/1453392930589249545,0,630,170,10246,39,2764525
JesseLingard,755703497195225088,1452368048665546762,https://twitter.com/755703497195225088/status/1452368048665546762,0,11353,2768,119784,2062,2764525
JesseLingard,755703497195225088,1451186517863387141,https://twitter.com/755703497195225088/status/1451186517863387141,125073,354,63,5084,33,2764525
JesseLingard,755703497195225088,1448281279053631491,https://twitter.com/755703497195225088/status/1448281279053631491,76153,224,76,3297,24,2764525
JesseLingard,755703497195225088,1446956880857899015,https://twitter.com/755703497195225088/status/1446956880857899015,0,778,109,19268,17,2764525
JesseLingard,755703497195225088,1446527183082725378,https://twitter.com/755703497195225088/status/1446527183082725378,0,603,141,18691,25,2764525
JesseLingard,755703497195225088,1446095616657051656,https://twitter.com/755703497195225088/status/1446095616657051656,0,699,96,17636,52,2764525
JesseLingard,755703497195225088,1443574970773213190,https://twitter.com/755703497195225088/status/1443574970773213190,0,796,139,22742,36,2764525
JesseLingard,755703497195225088,1443335597716873216,https://twitter.com/755703497195225088/status/1443335597716873216,0,8139,952,109055,296,2764525
JesseLingard,755703497195225088,1442881262717448198,https://twitter.com/755703497195225088/status/1442881262717448198,0,4112,413,54816,510,2764525
JesseLingard,755703497195225088,1442180461724192771,https://twitter.com/755703497195225088/status/1442180461724192771,0,127,25,3558,10,2764525
JesseLingard,755703497195225088,1442151127311605762,https://twitter.com/755703497195225088/status/1442151127311605762,0,845,381,21207,127,2764525
